REFERENCE,POSITION,ARTIST,TITLE,LENGTH
10.32.09 EURO,B2,Gun,Word Up!,4:14
10.32.09 EURO,B3,Let Loose,Crazy for You,4:18
10.32.09 EURO,B4,Lisa Loeb & Nine Stories,Stay (I Missed You),3:03
10.32.09 EURO,B5,Jam & Spoon,Find Me (Odyssey To Anyoona),4:03
10.33.02.EURO,A1,East 17,Stay Another Day,4:16
10.33.02.EURO,A2,Ini Kamoze,Here Comes The Hotstepper,4:10
10.33.02.EURO,A3,Whigfield,Another Day,3:48
10.33.02.EURO,A4,Simple Minds,She's A River,3:53
10.33.02.EURO,A5,The Human League,Tell Me When,3:51
10.33.02.EURO,B1,Annie Lennox,"No More ""I Love You's""",4:07
10.33.02.EURO,B2,Aerosmith,Blind Man,4:22
10.33.02.EURO,B3,The Stone Roses,Love Spreads,3:21
10.33.02.EURO,B4,Michelle Gayle,I'll Find You,4:24
10.33.02.EURO,B5,Boyzone,Love Me For A Reason,3:39
10.34.07 EURO,A1,Bon Jovi,This Ain't A Love Song,4:29
10.34.07 EURO,A2,Ali Campbell & Pamela Starks,That Look In Your Eye,3:29
10.34.07 EURO,A3,Jimmy Somerville,Hurt So Good,3:39
10.34.07 EURO,A4,East 17,Hold My Body Tight,3:35
10.34.07 EURO,A5,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",4:45
10.34.07 EURO,B1,Whigfield,Think Of You,4:00
10.34.07 EURO,B2,Incognito,Everyday,4:01
10.34.07 EURO,B3,Blessid Union of Souls,I Believe,3:49
10.34.07 EURO,B4,Mike + The Mechanics,Beggar On A Beach Of Gold,3:55
10.34.07 EURO,B5,Wet Wet Wet,Don't Want To Forgive Me Now,2:55
10.35.12 EURO,A1,Tina Turner,Goldeneye,3:30
10.35.12 EURO,A2,Meat Loaf,I'd Lie For You,5:00
10.35.12 EURO,A3,Queen,Heaven For Everyone,4:13
10.35.12 EURO,A4,East 17,Thunder,4:16
10.35.12 EURO,A5,Ace of Base,Lucky Love,2:54
10.35.12 EURO,B1,Cher,Walking In Memphis,4:00
10.35.12 EURO,B2,Madonna,You'll See,4:16
10.35.12 EURO,B3,Whitney Houston,Exhale (Shoop Shoop),3:23
10.35.12 EURO,B4,Haddaway,Lover Be Thy Name,3:41
10.35.12 EURO,B5,Elton John,Blessed,4:06
10.36.05.EURO,A1,The Prodigy,Firestarter,3:48
10.36.05.EURO,A2,Everything But The Girl,Walking Wounded,4:08
10.36.05.EURO,A3,The Presidents of the United States of America,Peaches,3:11
10.36.05.EURO,A4,Oasis,Dont Look Back In Anger,4:49
10.36.05.EURO,A5,Gusto,Disco's Revenge,3:08
10.36.05.EURO,B1,Ke,Strange World,4:33
10.36.05.EURO,B2,The Cranberries,Salvation,2:24
10.36.05.EURO,B3,Shaggy,Something Different,4:01
10.36.05.EURO,B4,Paul Carrack,How Long,3:34
10.36.05.EURO,B5,Babylon Zoo,Animal Army,3:57
10.37.10.EURO,A1,Alisha's Attic,"I Am, I Feel",4:00
10.37.10.EURO,A2,R.E.M.,E-Bow The Letter,4:04
10.37.10.EURO,A3,Jamiroquai,Virtual Insanity,3:55
10.37.10.EURO,A4,Sheryl Crow,If It Makes You Happy,4:00
10.37.10.EURO,A5,Fugees,Ready Or Not,3:50
10.37.10.EURO,B1,Stretch & Vern Pres. Maddog,I'm Alive,3:02
10.37.10.EURO,B2,Peter Andre,Flava,3:48
10.37.10.EURO,B3,Donna Lewis,I Love You Always Forever,3:47
10.37.10.EURO,B4,George Michael,Spinning The Wheel,4:08
10.37.10.EURO,B5,Tina Turner,Something Beautiful Remains,3:55
10.38.03.EURO,A1,U2,Discothèque,4:31
10.38.03.EURO,A2,Skunk Anansie,Hedonism (Just Because You Feel Good),3:28
10.38.03.EURO,A3,Whitney Houston,I Believe In You And Me,3:53
10.38.03.EURO,A4,White Town,Your Woman,4:19
10.38.03.EURO,A5,Michelle Gayle,Do You Know,3:38
10.38.03.EURO,B1,Ginuwine,Pony,4:10
10.38.03.EURO,B2,MC Lyte,Cold Rock A Party,4:08
