REFERENCE,POSITION,ARTIST,TITLE,LENGTH
18.55.02 FREN,B1,Sylvie Vartan,Qui Tu Es,
18.55.02 FREN,B2,Joe Cocker,(All I Know) Feels Like Forever,
18.55.02 FREN,B3,Kris Kross,Warm It Up,
18.55.02 FREN,B4,Arthur H,Con Comme La Lune,
18.55.02 FREN,B5,Zwap,Piche DJ,
18.56.03.ITAL,A1,Zucchero,Ridammi Il Sole,
18.56.03.ITAL,A2,Francesco Baccini,Renato Curcio,
18.56.03.ITAL,A3,Litfiba,Maudit,
18.56.03.ITAL,A4,Stadio,Libero Di Cambiare,
18.56.03.ITAL,A5,Biagio Antonacci,Fiore,
18.56.03.ITAL,B1,Angelo Branduardi,Si Può Fare,
18.56.03.ITAL,B2,Marco Masini,Vaffanculo,
18.56.03.ITAL,B3,Gianni Nocenzi,Mintoi,
18.56.03.ITAL,B4,Francesco De Gregori,Pablo,
18.56.03.ITAL,B5,Vasco Rossi,C'è Chi Dice No,
18.57.03.GER,A1,Captain Hollywood Project,Only With You,3:48
18.57.03.GER,A2,Badesalz,Black Or White,3:21
18.57.03.GER,A3,Die Fantastischen Vier,Saft,3:55
18.57.03.GER,A4,Sister Sledge,We Are Family '93,3:00
18.57.03.GER,A5,Ace of Base,All That She Wants,3:33
18.57.03.GER,B1,"Us3, Gerard Presencer & Rahsaan",Cantaloop,3:41
18.57.03.GER,B2,Double You,Who's Fooling Who,3:24
18.57.03.GER,B3,Soulsister,Broken,3:52
18.57.03.GER,B4,Take That,Could It Be Magic,3:43
18.57.03.GER,B5,Toad the Wet Sprocket,All I Want,3:17
18.59.06.GER,A1,Die Toten Hosen,Wunsch Dir Was,4:17
18.59.06.GER,A2,New Model Army,Here Comes The war,4:12
18.59.06.GER,A3,Spin Doctors,Two Princes,3:47
18.59.06.GER,A4,2 Unlimited,Tribal Dance,3:43
18.59.06.GER,A5,Ace of Base,Wheel Of Fortune,3:51
18.59.06.GER,B1,Army of Lovers,Israelism,3:23
18.59.06.GER,B2,En-Rage,Why Don't You,3:52
18.59.06.GER,B3,The Beloved,Sweet Harmony,4:24
18.59.06.GER,B4,Shaggy,Oh Carolina,3:13
18.59.06.GER,B5,Naughty By Nature,Hip Hop Hooray,4:35
18.60.06.FREN,A1,François Feldman,Elle Est Bien Trop Belle,
18.60.06.FREN,A2,Elmer Food Beat,Hey Docteur,
18.60.06.FREN,A3,Noir Désir,Lolita Nie En Bloc,
18.60.06.FREN,A4,Didier Sustrac,Tout Seul,
18.60.06.FREN,A5,Jérôme Dahan,Sexe Faible,
18.60.06.FREN,B1,David Hallyday,Héros,
18.60.06.FREN,B2,Dance 2 Trance,Power Of American Natives,
18.60.06.FREN,B3,Shinehead,Jamaican In New York,
18.60.06.FREN,B4,Iggy Pop,In The Deathcar,
18.60.06.FREN,B5,Étienne Daho,Comme Un Igloo,
18.61.07.SPAN,A1,Héroes del Silencio,Nuestros Nombres,4:01
18.61.07.SPAN,A2,Eros Ramazzotti,Cosas De La Vida,4:06
18.61.07.SPAN,A3,OBK,Dicen,4:03
18.61.07.SPAN,A4,Angeles Del Infierno,A Cara O Cruz,3:39
18.61.07.SPAN,A5,Los Secretos,Mi Amiga Mala Suerte,4:07
18.61.07.SPAN,B1,Ray,No Siempre Duele Recordar,3:41
18.61.07.SPAN,B2,Depeche Mode,Walking In My Shoes,4:08
18.61.07.SPAN,B3,Haddaway,What Is Love,4:00
18.61.07.SPAN,B4,Snow,Informer,4:06
18.61.07.SPAN,B5,Jesús Vázquez,Y Yo Te Besé,4:01
18.63.11.FREN,A1,Rachel Des Bois,"Moi, Les Garçons",
18.63.11.FREN,A2,Maurane,Sur Un Prélude De Bach,
18.63.11.FREN,A3,Eddy Mitchell,J'Me Sens Mieux Quand J'Me Sens Mal,
18.63.11.FREN,A4,Erick Bamy,Sailing Ships,
18.63.11.FREN,A5,Texas,So Called Friend,
18.63.11.FREN,B1,Scorpions,Under The Same Sun,
18.63.11.FREN,B2,Paul McCartney,Off The Ground,
18.63.11.FREN,B3,Masterboy,Everybody Needs Somebody,
18.63.11.FREN,B4,Curt Smith (Tears For Fears),Calling Out,
18.63.11.FREN,B5,Tears For Fears,Cold,
18.64.12.GER,A1,DJ Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,
18.64.12.GER,A2,Frankie Goes To Hollywood,Relax,
18.64.12.GER,A3,Die Fantastischen Vier,Zu Geil Für Diese Welt,
18.64.12.GER,A4,Apache Indian,Boom Shack-A-Lak,
18.64.12.GER,A5,The Proclaimers,I'm Gonna Be (500 Miles),
18.64.12.GER,B1,Deadly Sins,We Are Going On Down,
18.64.12.GER,B2,Kate Bush,Rubberband Girl,
18.64.12.GER,B3,Cappella,U Got 2 Let The Music,
18.64.12.GER,B4,Bruce Hornsby,Fields Of Gray,
18.64.12.GER,B5,Mary Chapin Carpenter,I Feel Lucky,
18.65.12.ITAL,A1,Eros Ramazzotti,Un Altra Te,
18.65.12.ITAL,A2,Paola Turci,Io E Maria,
18.65.12.ITAL,A3,Litfiba,Fata Morgana,
18.65.12.ITAL,A4,Francesco Baccini,Ho Voglia D'Innamorarmi,
18.65.12.ITAL,A5,Stadio,Un Disperato Bisogno D'Amore,
18.65.12.ITAL,B1,Franco Battiato,Caffè De La Paix,
18.65.12.ITAL,B2,Gatta Panceri,Abita In Te,
18.65.12.ITAL,B3,Eduardo De Crescenzo,"Danza, Danza",
18.65.12.ITAL,B4,Secchi feat. Taleesa,A Brighter Day,
18.65.12.ITAL,B5,JT Company,You Got,
18.66.12.SPAN,A1,Alejandro Sanz,Mi Primera Canción,4:48
18.66.12.SPAN,A2,Revólver,Fuera De Lugar (Concierto Básico),4:51
18.66.12.SPAN,A3,Kiko Veneno,En Un Mercedes Blanco,3:30
18.66.12.SPAN,A4,Cómplices,El Pintor De Arco Iris,3:29
18.66.12.SPAN,A5,Los Limones,Horizontes,3:19
18.66.12.SPAN,B1,OBK,Robarle Al Tiempo,4:38
18.66.12.SPAN,B2,Siniestro Total,El Hombre Medicina,3:12
18.66.12.SPAN,B3,Danza Invisible,El Orden Del Mundo,3:42
18.66.12.SPAN,B4,Amistades Peligrosas,Me Haces Tanto Bien,3:52
18.66.12.SPAN,B5,David Santisteban,Echar A Volar,4:28
18.67.04 FREN,A1,Rachel Des Bois,Ca Tue L'amour,
18.67.04 FREN,A2,Gabrielle,Going Nowhere,
18.67.04 FREN,A3,Grant Lee Buffalo,Fuzzy,
18.67.04 FREN,A4,Serge Gainsbourg,Mon Légionnaire,
18.67.04 FREN,A5,Texas,So In Love With You,
18.67.04 FREN,B1,Denis Leg,J'Ai Besoin De Toi,
18.67.04 FREN,B2,Angélique Kidjo,Agolo,
18.67.04 FREN,B3,William Sheller,Maintenant Tout Le Temps,
18.67.04 FREN,B4,Noir Désir,Marlène,
18.67.04 FREN,B5,Rachid Taha,"Voilà, Voilà... (Remix By Justin Robertson)",
18.68.04.ITAL,A1,Eros Ramazzotti,Favola,4:14
18.68.04.ITAL,A2,Corona,The Rhythm Of The Night,3:47
18.68.04.ITAL,A3,Gerardina Trovato,Non È Un Film,4:11
18.68.04.ITAL,A4,Francesco Guccini,Samantha,4:25
18.68.04.ITAL,A5,Negrita,Cambio,3:18
18.68.04.ITAL,B1,Ritmo Tribale,Sogna,3:43
18.68.04.ITAL,B2,Valerio Liboni,Amore Delle Distanze,3:45
18.68.04.ITAL,B3,Jean Rich,Imagine (Lennon Song),3:21
18.68.04.ITAL,B4,Black Machine,Get Funky,4:16
18.68.04.ITAL,B5,MC Hammer,It's All Good,4:10
18.69.05.GER,A1,Doop,Doop,3:09
18.69.05.GER,A2,Heinz Rudolf Kunze,Leg Nicht Auf,3:55
18.69.05.GER,A3,Lisa Stansfield,Little Bit Of Heaven,4:16
18.69.05.GER,A4,Culture Beat,World In Your Hands,4:13
18.69.05.GER,A5,Masterboy,I Got To Give It Up,4:02
18.69.05.GER,B1,Lucilectric,Mädchen,3:16
18.69.05.GER,B2,Bon Jovi,Dry County,4:23
18.69.05.GER,B3,Salt 'N' Pepa With En Vogue,Whatta Man,4:56
18.69.05.GER,B4,Major T.,Keep The Frequency Clear,3:11
18.69.05.GER,B5,Twenty 4 Seven,Take Me Away,3:35
18.70.05.SPAN,A1,El Último De La Fila,Lápiz Y Tinta,4:11
18.70.05.SPAN,A2,Revólver,Si Es Tan Solo Amor,4:09
18.70.05.SPAN,A3,No Me Pises Que Llevo Chanclas,El Canario,3:27
18.70.05.SPAN,A4,Maná,Vivir Sin Aire,4:54
18.70.05.SPAN,A5,Azuquita Y Celia Cruz,El Tostadero,2:47
18.70.05.SPAN,B1,Gloria Estefan,Mi Buen Amor,3:50
18.70.05.SPAN,B2,Alice in Chains,No Excuses,4:14
18.70.05.SPAN,B3,Crowded House,Locked Out,3:18
18.70.05.SPAN,B4,Björk,Violently Happy,3:32
18.70.05.SPAN,B5,Radiohead,Creep,3:56
18.71.09.FREN,A1,Corona,The Rhythm Of The Night,
18.71.09.FREN,A2,Soundgarden,Black Hole Sun,
18.71.09.FREN,A3,2 Unlimited,The Real Thing,
18.71.09.FREN,A4,Whitesnake,Is This Love,
18.71.09.FREN,A5,Public Enemy,Give It Up,
18.71.09.FREN,B1,Florent Pagny,Si Tu Veux M'Essayer,
18.71.09.FREN,B2,Bernard Lavilliers,Troisièmes Couteaux,
18.71.09.FREN,B3,Michael Jackson,Remember The Time,
18.71.09.FREN,B4,Dire Straits,Calling Elvis,
18.71.09.FREN,B5,Bryan Adams,Run To You,
18.72.09.ITAL,A1,Laura Pausini,Gente,4:12
18.72.09.ITAL,A2,Elio E Le Storie Tese,Nessuno Allo Stadio,3:36
18.72.09.ITAL,A3,Francesco Baccini,Lei Sta Con Te (Your Other Love),4:30
18.72.09.ITAL,A4,Amedeo Minghi,Viceré,3:51
18.72.09.ITAL,A5,Ramirez,Bomba,3:22
18.72.09.ITAL,B1,Miguel Bosè,Se Tu Non Torni,4:40
18.72.09.ITAL,B2,Mo-Do,"Eins, Zwei, Polizei",3:23
18.72.09.ITAL,B3,Otierre,Quando Meno Te L'Aspetti,4:00
18.72.09.ITAL,B4,Filippo Malatesta,Non Voglio Sentire Niente,3:55
18.72.09.ITAL,B5,Gino Paoli,King Kong,3:53
18.73.10.GER,A1,Pharao,I Show You Secrets,3:59
18.73.10.GER,A2,Mo-Do,"Eins, Zwei, Polizei",3:23
18.73.10.GER,A3,Jovanotti,Serenata Rap,4:49
18.73.10.GER,A4,2 Brothers on the 4th Floor,Dreams (Will Come Alive),3:14
18.73.10.GER,A5,Westernhagen,Es Geht Mir Gut,3:58
18.73.10.GER,B1,Twenty 4 Seven,Leave Them Alone,3:35
18.73.10.GER,B2,Whigfield,Saturday Night,3:57
18.73.10.GER,B3,Chris de Burgh,This Silent World,3:58
18.73.10.GER,B4,B.G. The Prince Of Rap,Rock A Bit,4:00
18.73.10.GER,B5,Prince Ital Joe & Marky Mark,Life In The Streets,3:46
18.74.12.SPAN,A1,Rosario,Estoy Aquí,3:47
18.74.12.SPAN,A2,Ana Belén y Víctor Manuel,Contamíname,3:26
18.74.12.SPAN,A3,ASAP,Baila,4:09
18.74.12.SPAN,A4,Antonio Flores,Siete Vidas Tiene Un Gato,4:05
18.74.12.SPAN,A5,Carlos Mata,Mirame A Los Ojos,4:16
18.74.12.SPAN,B1,Barricada,En Blanco Y Negro,3:57
18.74.12.SPAN,B2,Cómplices,Cuento Con Tu Risa,4:02
18.74.12.SPAN,B3,Antonio Vega,Oceano De Sol,4:22
18.74.12.SPAN,B4,Ketama,Loco,3:39
18.74.12.SPAN,B5,Camarón,Limón De Cera,3:08
18.75.01.ITAL,A1,Spagna,IL Cerchio Della Vita (The Lion King),3:48
18.75.01.ITAL,A2,Renato Zero,Cos'è (Nightmare Before Christmas),3:01
18.75.01.ITAL,A3,Gianni Morandi,Bella Signora,4:17
18.75.01.ITAL,A4,Ron,Tutti Quanti Abbiamo Un Angelo,4:01
18.75.01.ITAL,A5,Pooh,Tu Dove Sei (Where Are You?),4:35
18.75.01.ITAL,B1,Sheryl Crow,"Run, Baby, Run",4:12
18.75.01.ITAL,B2,Whigfield,Another Day,4:04
18.75.01.ITAL,B3,Digital Boy With Asia,The Mountain Of King,3:55
18.75.01.ITAL,B4,Sade,Love Is Stronger Than Pride,3:51
18.75.01.ITAL,B5,Guenda,Lover,3:56
18.77.03.GER,A1,Rednex,Old Pop In An Oak,3:33
18.77.03.GER,A2,Full Speed,"Star (Gimme, Gimme, Gimme)",3:38
18.77.03.GER,A3,Moby,Feeling So Real,3:12
18.77.03.GER,A4,Captain Hollywood Project,Flying High,3:48
18.77.03.GER,A5,Mo-Do,Super Gut,3:37
18.77.03.GER,B1,Pharao,There Is A Star,3:55
18.77.03.GER,B2,Scorpions,White Dove,4:25
18.77.03.GER,B3,Westbam,Bostich (Hands On Yello),3:00
18.77.03.GER,B4,Tokyo Ghetto Pussy,Everybody On The Floor (Pump It),3:39
18.77.03.GER,B5,The Connells,'74-'75,4:34
18.78.05.ITAL,A1,Pino Daniele,Io Per Lei,
18.78.05.ITAL,A2,Enrico Ruggeri,Non Piango Più,
18.78.05.ITAL,A3,Stadio,Ti Perdonerei,
18.78.05.ITAL,A4,Massimo Di Cataldo,Che Sarà Di Me,
18.78.05.ITAL,A5,Corona,Baby Baby,
18.78.05.ITAL,B1,Ti.Pi.Cal.,Round And Around,
18.78.05.ITAL,B2,DJ Flash,Un Lorenzo,
18.78.05.ITAL,B3,The Outhere Brothers,Don't Stop Wiggle Wiggle,
18.78.05.ITAL,B4,Bliss Team,You Make Me Cry,
18.78.05.ITAL,B5,Billie Ray Martin,Your Loving Arms,
18.79.06.SPAN,A1,Siniestro Total,Y Yo Me Callo,2:46
18.79.06.SPAN,A2,Caraoscura,El Garbanzo,4:47
18.79.06.SPAN,A3,Rosario Flores,Yo Te Dare,4:11
18.79.06.SPAN,A4,Los Piratas,Promesas Que No Valen Nada,3:36
18.79.06.SPAN,A5,Loquillo,La Vida Que Yo Veo,4:22
18.79.06.SPAN,B1,Tahúres zurdos,Lo Peligroso,3:13
18.79.06.SPAN,B2,Rosario,La Estrella,3:47
18.79.06.SPAN,B3,Los Rodríguez,Milonga Del Marinero,3:35
18.79.06.SPAN,B4,Laura Pausini,Gente,4:26
18.79.06.SPAN,B5,Jesus Cifuentes,El Caimán Verde,3:45
18.80.07.FREN,A1,Aswad,You're No Good,3:07
18.80.07.FREN,A2,The Bucketheads,The Bomb! (These Sounds Fall Into My Mind),3:28
18.80.07.FREN,A3,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),3:33
18.80.07.FREN,A4,Supercat,My Girl Josephine,3:45
18.80.07.FREN,A5,Jamiroquai,Light Years,4:02
18.80.07.FREN,B1,East 17,Let It Rain,3:43
18.80.07.FREN,B2,Rappin' 4-Tay,I'll Be Around,4:02
18.80.07.FREN,B3,2 Unlimited,Here I Go,3:19
18.80.07.FREN,B4,Haddaway,Fly Away,4:08
18.80.07.FREN,B5,Corona,Baby Baby,3:48
18.81.08.GER,A1,Rednex,Wish You Were Here,3:56
18.81.08.GER,A2,Blacknuss feat. Titiyo & Jennifer Brown,It Should Have Been You,3:57
18.81.08.GER,A3,E-Rotic,Sex On The Phone,2:39
18.81.08.GER,A4,Pur,Ich Lieb' Dich (Egal Wie Das Klingt),4:16
18.81.08.GER,A5,La Bouche,Fallin' In Love,3:45
18.81.08.GER,B1,Sandmann's Dummies feat. Herr Fuchs & Frau Elster,Der Fuchs Geht Durch Den Wald,3:29
18.81.08.GER,B2,Gompie,Alice (Who The X Is Alice?) (Living Next Door To Alice),3:55
18.81.08.GER,B3,The Lightning Seeds,Marvellous,3:42
18.81.08.GER,B4,DJ BoBo,There Is A Party,4:28
18.81.08.GER,B5,Marusha,Deep,3:18
18.82.05.ITAL 1,A1,Lighthouse Family,High,
18.82.05.ITAL 1,A2,Cecilia Gayle,El Pam Pam,
18.82.05.ITAL 1,A3,Gianluca Grignani,Baby Revolution,
18.82.05.ITAL 1,A4,Litfiba,Maudit,
18.82.05.ITAL 1,A5,Casino Royale,The Future,
18.82.05.ITAL 1,B1,Regina,Close The Door,
18.82.05.ITAL 1,B2,Billy Idol,Eyes Without A Face,
18.82.05.ITAL 1,B3,Queensrÿche,Jet City Woman,
18.82.05.ITAL 1,B4,DJ Ringo,Radio Aliena,
18.82.05.ITAL 1,B5,Piccola Orchestra Avion Travel,Dormi E Sogna,
18.82.09 ITAL,A1,Zucchero,Per Colpa Di Chi?,
18.82.09 ITAL,A2,Raf,Sei La Piu Bella Del Mondo,
18.82.09 ITAL,A3,Gianluca Grignani,La Mia Storia Tra Le Dita,
18.82.09 ITAL,A4,Articolo 31,Voglio Una Lurida,
18.82.09 ITAL,A5,Gianna Nannini,Piangerò,
18.82.09 ITAL,B1,Pooh,Buonanotte AI Suonatori,
18.82.09 ITAL,B2,Marina Rei,Sola,
18.82.09 ITAL,B3,JT Company,Feel It (In The Air),
18.82.09 ITAL,B4,Tullio De Piscopo,Ciapa Ciapa Al Maruchein,
18.82.09 ITAL,B5,Take That,Sure,
18.83.11.SPAN,A1,Vicente Amigo,Limón De Nata (Rumba),
18.83.11.SPAN,A2,Pulgar,Con Tus Manos,
18.83.11.SPAN,A3,Héroes del Silencio,Iberia Sumergida,
18.83.11.SPAN,A4,Los Pericos,Párate Y Mira,
18.83.11.SPAN,A5,Enanitos Verdes,Lamento Boliviano,
18.83.11.SPAN,B1,Os Paralamas Do Sucesso,Uma Brasileira,
18.83.11.SPAN,B2,Marta Sánchez,Dime La Verdad,
18.83.11.SPAN,B3,Sergio Dalma,No Despertaré,
18.83.11.SPAN,B4,Martires Del Compas,Oremus,
18.83.11.SPAN,B5,Proyecto Uno,El Tiburón,
18.84.12 FREN,A1,Dodgy,So Let Me Go Far,
18.84.12 FREN,A2,Urban Species,Listen,
18.84.12 FREN,A3,The Cranberries,I Can't Be With You,
18.84.12 FREN,A4,Red Hot Chili Peppers,My Friends,
18.84.12 FREN,A5,Everything But The Girl,Missing,
18.84.12 FREN,B1,Charts,Je M'Envole,
18.84.12 FREN,B2,Axelle Red,Le Monde Tourne Mal,
18.84.12 FREN,B3,Étienne Daho,Jungle Pulse,
18.84.12 FREN,B4,Renaud,Le Sirop De La Rue,
18.84.12 FREN,B5,L'Affaire Louis Trio,Le Meilleur Des Mondes,
18.85.01.GER,A1,Dune,Can't Stop Raving,3:37
18.85.01.GER,A2,E-Rotic,Willy Use A Billy .. Boy,2:51
18.85.01.GER,A3,Das Modul,1100101,3:35
18.85.01.GER,A4,Vangelis,Voices,3:03
18.85.01.GER,A5,Marusha,Unique,3:39
18.85.01.GER,B1,Blue System,Laila,3:25
18.85.01.GER,B2,Mark 'Oh,I Can't Get No (Wahaha),3:44
18.85.01.GER,B3,Perplexer,Love Is In The Air,3:37
18.85.01.GER,B4,Hootie & the Blowfish,Only Wanna Be With You,3:50
18.85.01.GER,B5,Willy DeVille,Still (I Love You Still),3:56
18.86.02.ITAL,A1,Jovanotti,L'Ombelico Del Mondo,
18.86.02.ITAL,A2,Corona,I Don't Wanna Be A Star,
18.86.02.ITAL,A3,Ligabue,Viva!,
18.86.02.ITAL,A4,Antonello Venditti,Ogni Volta,
18.86.02.ITAL,A5,Marina Rei,I Sogni Dell'Anima,
18.86.02.ITAL,B1,Andrea Bocelli,Nessun Dorma,
18.86.02.ITAL,B2,Pitura Freska,Olanda,
18.86.02.ITAL,B3,Brazilian Love Affair,Natureza Humana,
18.86.02.ITAL,B4,Dhamm,Un Posto Anche Per Te (A Place For You Too),
18.86.02.ITAL,B5,Bliss Team,Love Is Forever,
18.87.04.SPAN,A1,Amistades Peligrosas,Me Quedaré Sólo,
18.87.04.SPAN,A2,Luz Casal,Lo Eres Todo,
18.87.04.SPAN,A3,Selena,"Tú, Sólo Tú",
18.87.04.SPAN,A4,Albert Pla,El Lado Más Bestia De La Vida (walk On The Wild Side),
18.87.04.SPAN,A5,Fobia,Revolución Sin Manos,
18.87.04.SPAN,B1,La Unión,Negrita,
18.87.04.SPAN,B2,Alejandro Sanz,Quiero Morir En Tu Veneno,
18.87.04.SPAN,B3,Miguel Bosé,Tesoro (Pudo Ser Tu Nombre),
18.87.04.SPAN,B4,Negu Gorriak,Hitz Egin,
18.87.04.SPAN,B5,Lin Ton Taun,Izan Heu!,
18.89.06 GER,A1,Stefan Raab,Hier kommt die Maus,
18.89.06 GER,A2,Los Del Rio,Macarena,
18.89.06 GER,A3,Caught In The Act,Don't Walk Away,
18.89.06 GER,A4,Mr. President,Coco Jamboo,
18.89.06 GER,A5,Double Vision,All Right,
18.89.06 GER,B1,BND,Here I Go Again,
18.89.06 GER,B2,Grooveminister,Wieder Ohne,
18.89.06 GER,B3,Bed & Breakfast,If I Could Change The World,
18.89.06 GER,B4,Raver's Nature,Somebody Scream,
18.89.06 GER,B5,Members of Mayday,The Day X,
18.91.09.SPAN,A1,Juan Antonio Canta,Rap De Los 40 Limones,4:25
18.91.09.SPAN,A2,Miguel Rios,No Voy En Tren,4:11
18.91.09.SPAN,A3,Barrio Boyzz,Una Noche De Amor,2:54
18.91.09.SPAN,A4,Diego Torres,Penélope,5:20
18.91.09.SPAN,A5,Aterciopelados,Bolero Falaz,1:48
18.91.09.SPAN,B1,Sopa de Cabra,Hores Bruixes,4:06
18.91.09.SPAN,B2,Miguel Bosé,La Auto-Radio Canta,4:07
18.91.09.SPAN,B3,Presuntos Implicados,Fallen,3:42
18.91.09.SPAN,B4,La Unión,Black Is Black,3:23
18.91.09.SPAN,B5,Celtas Cortos,El Emigrante,4:06
18.93.11.GER,A1,DJ BoBo,Pray,4:16
18.93.11.GER,A2,RMB,Reality,3:50
18.93.11.GER,A3,Eros Ramazzotti,Stella Gemella,4:44
18.93.11.GER,A4,Down Low,Murder,3:57
18.93.11.GER,A5,Die Ärzte,Mein Baby War Beim Frisör,2:19
18.93.11.GER,B1,Fettes Brot feat. Eißfeldt,Mal sehen,3:49
18.93.11.GER,B2,Dr. Alban,Hallelujah Day,3:36
18.93.11.GER,B3,Black Box,Native New Yorker,3:43
18.93.11.GER,B4,Imperio,Atlantis,3:56
18.93.11.GER,B5,Gilette,Do Fries Go With That Shake,3:48
18.94.12 ITAL,A1,Massimo Di Cataldo & Youssou N Dour,Anime,
18.94.12 ITAL,A2,Niccolò Fabi,Dica,
18.94.12 ITAL,A3,Laura Pausini,Incancellabile,
18.94.12 ITAL,A4,Sottotono,Solo Leo Ha Quel Che Voglio,
18.94.12 ITAL,A5,Pooh,Amici X Sempre,
18.94.12 ITAL,B1,Kay Bianco,Volo Via,
18.94.12 ITAL,B2,Hysteric Ego,Want Love,
18.94.12 ITAL,B3,Los Locos,Tic Tic Tac,
18.94.12 ITAL,B4,Guns N' Roses,Welcome To The Jungle,
18.94.12 ITAL,B5,Whitesnake,Is This Love,
18.95.02.SPAN,A1,El Niño Gusano,Pon Tu Mente Al Sol,3:45
18.95.02.SPAN,A2,Eros Ramazzotti,L'Aurora,4:03
18.95.02.SPAN,A3,Marco Masini,Mi Amor Allí Estará,4:23
18.95.02.SPAN,A4,La Caramba,La Caramba y El Caray,4:32
18.95.02.SPAN,A5,Los Enemigos,Tengo Una Casa,2:31
18.95.02.SPAN,B1,Buenas Noches Rose,Sentado En El Barro,4:05
18.95.02.SPAN,B2,Rosario,Que Bonito,3:48
18.95.02.SPAN,B3,OBK,Si Esto No Es Amor,4:10
18.95.02.SPAN,B4,Roxette,Un Dia Sin Ti,4:00
18.95.02.SPAN,B5,El Consorcio,Bossanova Junto A Ti,3:21
18.97.04.GER,A1,*NSYNC,Tearin' Up My Heart,3:30
18.97.04.GER,A2,B.B.E.,Flash,4:05
18.97.04.GER,A3,Monstars,Hit 'Em High,4:27
18.97.04.GER,A4,Scooter,Break It Up,3:40
18.97.04.GER,A5,X-Perience,Magic Fields,3:28
18.97.04.GER,B1,Apollo Four Forty,Ain't Talkin' 'Bout Dub,3:54
18.97.04.GER,B2,Down Low,Potion,4:04
18.97.04.GER,B3,Republica,Ready To Go,3:41
18.97.04.GER,B4,Future Breeze,Keep The Fire Burnin',3:36
18.97.04.GER,B5,Generator,Das Model,3:51
18.98.05.ITAL,A1,Jovanotti,Bella,
18.98.05.ITAL,A2,Articolo 31,2030,
18.98.05.ITAL,A3,Pino Daniele,Che Male C'è (What's Wrong),
18.98.05.ITAL,A4,Marina Rei,Dentro Me (Inside Me),
18.98.05.ITAL,A5,Niccolò Fabi,Capelli,
18.98.05.ITAL,B1,Casino Royale,Cose Difficili,
18.98.05.ITAL,B2,Whirlpool Productions,From Disco To Disco,
18.98.05.ITAL,B3,Visnadi Presents Josh Colow,Do It Again,
18.98.05.ITAL,B4,Metallica,King Nothing,
18.98.05.ITAL,B5,Iron Maiden,Can I Play With Madness,
18.99.07.SPAN,A1,Proyecto Uno,Pumpin',4:34
18.99.07.SPAN,A2,INXS,Taste It,3:23
18.99.07.SPAN,A3,Soraya,Stay Awhile,4:10
18.99.07.SPAN,A4,Pedro Guerra,Ni Todo Lo Contrario,3:12
18.99.07.SPAN,A5,Isabel Pantoja,Pobre Mi Esperanza,3:58
18.99.07.SPAN,B1,Lole Montoya,No Credo,3:22
18.99.07.SPAN,B2,Loquillo Y Los Trogloditas,Qué Hace Una Chica Como Tú En Un Sitio Como Este?,4:15
18.99.07.SPAN,B3,Zucchero,El Vuelo (The Flight),5:22
18.99.07.SPAN,B4,Encarnita Polo & Loco Mia,Ya No Lloro Más,2:56
18.99.07.SPAN,B5,Alexia,Uh La La La,3:41
19.00.03 FREN 1,A1,Pit Baccardi,Si Loin De Toi,
19.00.03 FREN 1,A2,Khaled,C'Est La Nuit,
19.00.03 FREN 1,A3,Darryl Pandy,Feel It,
19.00.03 FREN 1,A4,Axelle Red,Parce Que C'est Toi,
19.00.03 FREN 1,A5,Jamiroquai,King For A Day,
19.00.03 FREN 1,B1,China,Etre La-Bas,
19.00.03 FREN 1,B2,Les Thugs,Le Hamac,
19.00.03 FREN 1,B3,The Chemical Brothers,Let Forever Be,
19.00.03 FREN 1,B4,Prince,The Greatest Romance Ever Sold,
19.00.03 FREN 1,B5,Yomanda,Synth & Strings,
19.01.04.GER 1,A1,Ayman,Mein Stern,3:53
19.01.04.GER 1,A2,Highland,Bella Stella,3:55
19.01.04.GER 1,A3,Modern Talking feat. Eric Singleton,China In Her Eyes,3:12
19.01.04.GER 1,A4,2Pac & Outlawz,Baby Don't Cry (Keep Ya Head Up II),4:26
19.01.04.GER 1,A5,Oli.P,Niemals Mehr,3:56
19.01.04.GER 1,B1,Amber,Sexual (Li Da Di),3:48
19.01.04.GER 1,B2,Sisqó,Got To Get It,2:57
19.01.04.GER 1,B3,Der Verfall Feat. Srecko,Abfahrt,3:57
19.01.04.GER 1,B4,M2M,Don't Say You Love Me,3:40
19.01.04.GER 1,B5,Blaque Ivory,Bring It All To Me,3:11
19.03.07.SPAN 2,A1,Jon Secada,Stop,
19.03.07.SPAN 2,A2,Azúcar Moreno,Mamma Mía,
19.03.07.SPAN 2,A3,Diego Torres,Dónde Van,
19.03.07.SPAN 2,A4,Ariel Rot,Dos De Corazones,
19.03.07.SPAN 2,A5,Gloria Estefan,No Me Dejes De Querer,
19.03.07.SPAN 2,B1,Thalia,Entre El Mar Y Una Estrella,
19.03.07.SPAN 2,B2,Mikel Erentxun,California,
19.03.07.SPAN 2,B3,Raúl,Sueño Su Boca,
19.03.07.SPAN 2,B4,Guns N' Roses,You Could Be Mine,
19.03.07.SPAN 2,B5,Kiss,Forever,
19.05.04.EURO,A1,New Order,Round & Round,
19.05.04.EURO,A2,Coldcut feat. Lisa Stansfield,People Hold On,
19.05.04.EURO,A3,The Four Tops,Indestructible,
